Fold,Scaler,n_estimators,max_depth,learning_rate,ACC,Precision,Recall,F1,ROC-AUC
1,NoScaler,100,4,0.01,0.441,0.4388,0.441,0.4385,0.6331
1,NoScaler,100,4,0.1,0.5551,0.5562,0.5551,0.5548,0.7294
1,NoScaler,100,6,0.01,0.525,0.5243,0.525,0.5245,0.7018
1,NoScaler,100,6,0.1,0.6039,0.6046,0.6039,0.6041,0.7705
1,NoScaler,100,8,0.01,0.5458,0.5478,0.5458,0.5461,0.7314
1,NoScaler,100,8,0.1,0.6253,0.6255,0.6253,0.6253,0.7841
1,NoScaler,200,4,0.01,0.4942,0.4938,0.4942,0.4902,0.6539
1,NoScaler,200,4,0.1,0.5924,0.5935,0.5924,0.5928,0.7551
1,NoScaler,200,6,0.01,0.5354,0.535,0.5354,0.5339,0.7182
1,NoScaler,200,6,0.1,0.6308,0.632,0.6308,0.6312,0.7843
1,NoScaler,200,8,0.01,0.5765,0.5774,0.5765,0.5768,0.7555
1,NoScaler,200,8,0.1,0.6188,0.6185,0.6188,0.6186,0.7837
1,StandardScaler,100,4,0.01,0.4454,0.4437,0.4454,0.4437,0.634
1,StandardScaler,100,4,0.1,0.5562,0.56,0.5562,0.5562,0.7296
1,StandardScaler,100,6,0.01,0.5145,0.5139,0.5145,0.5141,0.6999
1,StandardScaler,100,6,0.1,0.61,0.6107,0.61,0.6101,0.7712
1,StandardScaler,100,8,0.01,0.5557,0.5573,0.5557,0.5561,0.7332
1,StandardScaler,100,8,0.1,0.6231,0.6234,0.6231,0.6233,0.7837
1,StandardScaler,200,4,0.01,0.4909,0.491,0.4909,0.4869,0.6523
1,StandardScaler,200,4,0.1,0.593,0.5933,0.593,0.5931,0.7557
1,StandardScaler,200,6,0.01,0.5387,0.5379,0.5387,0.5375,0.7173
1,StandardScaler,200,6,0.1,0.6242,0.6249,0.6242,0.6245,0.7809
1,StandardScaler,200,8,0.01,0.5771,0.5776,0.5771,0.5773,0.754
1,StandardScaler,200,8,0.1,0.6188,0.6186,0.6188,0.6187,0.7862
1,MinMaxScaler,100,4,0.01,0.4432,0.4408,0.4432,0.4405,0.6338
1,MinMaxScaler,100,4,0.1,0.565,0.5656,0.565,0.5637,0.7328
1,MinMaxScaler,100,6,0.01,0.5162,0.5155,0.5162,0.5158,0.6993
1,MinMaxScaler,100,6,0.1,0.6056,0.6064,0.6056,0.6058,0.769
1,MinMaxScaler,100,8,0.01,0.5535,0.5527,0.5535,0.553,0.7321
1,MinMaxScaler,100,8,0.1,0.6237,0.6244,0.6237,0.6239,0.7847
1,MinMaxScaler,200,4,0.01,0.4871,0.4871,0.4871,0.4828,0.6518
1,MinMaxScaler,200,4,0.1,0.5902,0.591,0.5902,0.5904,0.7547
1,MinMaxScaler,200,6,0.01,0.5398,0.5394,0.5398,0.5391,0.7191
1,MinMaxScaler,200,6,0.1,0.6281,0.6294,0.6281,0.6286,0.78
1,MinMaxScaler,200,8,0.01,0.5804,0.5815,0.5804,0.5804,0.7543
1,MinMaxScaler,200,8,0.1,0.6237,0.6234,0.6237,0.6235,0.7872
1,RobustScaler,100,4,0.01,0.441,0.4388,0.441,0.4385,0.6337
1,RobustScaler,100,4,0.1,0.5634,0.5639,0.5634,0.5628,0.7291
1,RobustScaler,100,6,0.01,0.5134,0.5125,0.5134,0.5127,0.6985
1,RobustScaler,100,6,0.1,0.6182,0.6183,0.6182,0.6181,0.7701
1,RobustScaler,100,8,0.01,0.5485,0.5511,0.5485,0.5492,0.7325
1,RobustScaler,100,8,0.1,0.6221,0.622,0.6221,0.6218,0.7821
1,RobustScaler,200,4,0.01,0.4937,0.4935,0.4937,0.4902,0.6523
1,RobustScaler,200,4,0.1,0.5902,0.5909,0.5902,0.5902,0.7549
1,RobustScaler,200,6,0.01,0.5343,0.5343,0.5343,0.5336,0.7167
1,RobustScaler,200,6,0.1,0.6303,0.6308,0.6303,0.6304,0.779
1,RobustScaler,200,8,0.01,0.5743,0.5762,0.5743,0.575,0.7516
1,RobustScaler,200,8,0.1,0.6215,0.621,0.6215,0.6212,0.7836
1,Normalizer,100,4,0.01,0.4613,0.4672,0.4613,0.4569,0.6492
1,Normalizer,100,4,0.1,0.5107,0.5127,0.5107,0.511,0.6948
1,Normalizer,100,6,0.01,0.4986,0.5008,0.4986,0.498,0.6884
1,Normalizer,100,6,0.1,0.5436,0.5436,0.5436,0.5436,0.7199
1,Normalizer,100,8,0.01,0.5178,0.5187,0.5178,0.5166,0.7067
1,Normalizer,100,8,0.1,0.5518,0.5517,0.5518,0.5517,0.7228
1,Normalizer,200,4,0.01,0.4794,0.4837,0.4794,0.4785,0.6623
1,Normalizer,200,4,0.1,0.5315,0.5315,0.5315,0.5313,0.71
1,Normalizer,200,6,0.01,0.525,0.5252,0.525,0.5249,0.6978
1,Normalizer,200,6,0.1,0.5485,0.5484,0.5485,0.5483,0.7234
1,Normalizer,200,8,0.01,0.5239,0.5241,0.5239,0.5228,0.7095
1,Normalizer,200,8,0.1,0.5425,0.5423,0.5425,0.5423,0.7241
2,NoScaler,100,4,0.01,0.4975,0.4981,0.4975,0.4968,0.6609
2,NoScaler,100,4,0.1,0.5853,0.5852,0.5853,0.5851,0.7502
2,NoScaler,100,6,0.01,0.5359,0.5357,0.5359,0.5352,0.712
2,NoScaler,100,6,0.1,0.6177,0.6183,0.6177,0.6179,0.7765
2,NoScaler,100,8,0.01,0.5612,0.5612,0.5612,0.5606,0.7475
2,NoScaler,100,8,0.1,0.6177,0.6186,0.6177,0.6179,0.7868
2,NoScaler,200,4,0.01,0.5123,0.5128,0.5123,0.5109,0.6857
2,NoScaler,200,4,0.1,0.6089,0.6093,0.6089,0.609,0.7691
2,NoScaler,200,6,0.01,0.5568,0.5586,0.5568,0.5541,0.7388
2,NoScaler,200,6,0.1,0.6231,0.625,0.6231,0.6237,0.7855
2,NoScaler,200,8,0.01,0.5979,0.5981,0.5979,0.5977,0.7669
2,NoScaler,200,8,0.1,0.6177,0.6193,0.6177,0.6182,0.7867
2,StandardScaler,100,4,0.01,0.4986,0.4992,0.4986,0.4977,0.6621
2,StandardScaler,100,4,0.1,0.5858,0.5862,0.5858,0.5858,0.7508
2,StandardScaler,100,6,0.01,0.548,0.5479,0.548,0.5476,0.7145
2,StandardScaler,100,6,0.1,0.6138,0.6144,0.6138,0.614,0.7778
2,StandardScaler,100,8,0.01,0.5809,0.5816,0.5809,0.5811,0.7544
2,StandardScaler,100,8,0.1,0.6281,0.6284,0.6281,0.6281,0.7873
2,StandardScaler,200,4,0.01,0.5123,0.513,0.5123,0.5109,0.6864
2,StandardScaler,200,4,0.1,0.6116,0.6115,0.6116,0.6114,0.7699
2,StandardScaler,200,6,0.01,0.5628,0.5627,0.5628,0.5616,0.7403
2,StandardScaler,200,6,0.1,0.6237,0.6256,0.6237,0.6243,0.786
2,StandardScaler,200,8,0.01,0.6034,0.6045,0.6034,0.6038,0.7661
2,StandardScaler,200,8,0.1,0.6182,0.619,0.6182,0.6185,0.786
2,MinMaxScaler,100,4,0.01,0.4975,0.5,0.4975,0.4966,0.6623
2,MinMaxScaler,100,4,0.1,0.5869,0.5872,0.5869,0.5867,0.7506
2,MinMaxScaler,100,6,0.01,0.5381,0.5391,0.5381,0.538,0.7124
2,MinMaxScaler,100,6,0.1,0.6166,0.6166,0.6166,0.6165,0.7764
2,MinMaxScaler,100,8,0.01,0.5875,0.5883,0.5875,0.5876,0.7562
2,MinMaxScaler,100,8,0.1,0.6242,0.6254,0.6242,0.6245,0.7862
2,MinMaxScaler,200,4,0.01,0.5123,0.5128,0.5123,0.5107,0.6863
2,MinMaxScaler,200,4,0.1,0.6029,0.6035,0.6029,0.603,0.7696
2,MinMaxScaler,200,6,0.01,0.5666,0.5669,0.5666,0.5661,0.7362
2,MinMaxScaler,200,6,0.1,0.6188,0.6195,0.6188,0.619,0.7857
2,MinMaxScaler,200,8,0.01,0.6083,0.6093,0.6083,0.6086,0.767
2,MinMaxScaler,200,8,0.1,0.6193,0.6194,0.6193,0.6193,0.7864
2,RobustScaler,100,4,0.01,0.4942,0.4961,0.4942,0.4934,0.6616
2,RobustScaler,100,4,0.1,0.5908,0.5909,0.5908,0.5906,0.7484
2,RobustScaler,100,6,0.01,0.5474,0.5474,0.5474,0.5471,0.7143
2,RobustScaler,100,6,0.1,0.6155,0.6158,0.6155,0.6156,0.7758
2,RobustScaler,100,8,0.01,0.5782,0.5789,0.5782,0.5784,0.7532
2,RobustScaler,100,8,0.1,0.6215,0.623,0.6215,0.6219,0.7856
2,RobustScaler,200,4,0.01,0.5134,0.5148,0.5134,0.5127,0.6864
2,RobustScaler,200,4,0.1,0.6061,0.6062,0.6061,0.6061,0.7691
2,RobustScaler,200,6,0.01,0.5645,0.5645,0.5645,0.5633,0.7398
2,RobustScaler,200,6,0.1,0.6226,0.624,0.6226,0.623,0.7868
2,RobustScaler,200,8,0.01,0.6045,0.6053,0.6045,0.6047,0.7647
2,RobustScaler,200,8,0.1,0.6188,0.6198,0.6188,0.6192,0.7877
2,Normalizer,100,4,0.01,0.4707,0.4767,0.4707,0.4677,0.6477
2,Normalizer,100,4,0.1,0.5321,0.5339,0.5321,0.5315,0.7036
2,Normalizer,100,6,0.01,0.5091,0.5142,0.5091,0.508,0.6857
2,Normalizer,100,6,0.1,0.5617,0.5623,0.5617,0.5618,0.7257
2,Normalizer,100,8,0.01,0.5474,0.5486,0.5474,0.5473,0.7091
2,Normalizer,100,8,0.1,0.5672,0.5675,0.5672,0.5672,0.7273
2,Normalizer,200,4,0.01,0.4701,0.474,0.4701,0.4688,0.6596
2,Normalizer,200,4,0.1,0.5529,0.5537,0.5529,0.5529,0.721
2,Normalizer,200,6,0.01,0.5348,0.5396,0.5348,0.5339,0.703
2,Normalizer,200,6,0.1,0.565,0.5654,0.565,0.565,0.7283
2,Normalizer,200,8,0.01,0.5584,0.5595,0.5584,0.5583,0.7159
2,Normalizer,200,8,0.1,0.5628,0.5629,0.5628,0.5628,0.7251
3,NoScaler,100,4,0.01,0.5069,0.5093,0.5069,0.5038,0.6723
3,NoScaler,100,4,0.1,0.5815,0.5838,0.5815,0.5815,0.7523
3,NoScaler,100,6,0.01,0.5348,0.5356,0.5348,0.5336,0.7232
3,NoScaler,100,6,0.1,0.6325,0.6332,0.6325,0.6326,0.7876
3,NoScaler,100,8,0.01,0.582,0.5816,0.582,0.5817,0.7577
3,NoScaler,100,8,0.1,0.6413,0.6413,0.6413,0.6412,0.7994
3,NoScaler,200,4,0.01,0.5151,0.5158,0.5151,0.5133,0.6912
3,NoScaler,200,4,0.1,0.6199,0.6226,0.6199,0.6203,0.7796
3,NoScaler,200,6,0.01,0.5639,0.5651,0.5639,0.5634,0.7463
3,NoScaler,200,6,0.1,0.6352,0.6363,0.6352,0.6355,0.7974
3,NoScaler,200,8,0.01,0.599,0.5989,0.599,0.5989,0.7723
3,NoScaler,200,8,0.1,0.6391,0.6398,0.6391,0.6393,0.8011
3,StandardScaler,100,4,0.01,0.5063,0.5089,0.5063,0.5032,0.6731
3,StandardScaler,100,4,0.1,0.5721,0.5725,0.5721,0.5716,0.7532
3,StandardScaler,100,6,0.01,0.5392,0.5403,0.5392,0.5376,0.7234
3,StandardScaler,100,6,0.1,0.6319,0.6332,0.6319,0.6322,0.7893
3,StandardScaler,100,8,0.01,0.5815,0.5813,0.5815,0.5813,0.7588
3,StandardScaler,100,8,0.1,0.6374,0.638,0.6374,0.6377,0.7996
3,StandardScaler,200,4,0.01,0.5184,0.5192,0.5184,0.5169,0.6926
3,StandardScaler,200,4,0.1,0.6204,0.6218,0.6204,0.6206,0.7785
3,StandardScaler,200,6,0.01,0.5639,0.5656,0.5639,0.5636,0.7471
3,StandardScaler,200,6,0.1,0.6347,0.6357,0.6347,0.635,0.7989
3,StandardScaler,200,8,0.01,0.5996,0.5994,0.5996,0.5994,0.7727
3,StandardScaler,200,8,0.1,0.6396,0.6401,0.6396,0.6397,0.8026
3,MinMaxScaler,100,4,0.01,0.5063,0.5094,0.5063,0.5034,0.6728
3,MinMaxScaler,100,4,0.1,0.5842,0.5844,0.5842,0.5839,0.7517
3,MinMaxScaler,100,6,0.01,0.5414,0.5412,0.5414,0.5407,0.725
3,MinMaxScaler,100,6,0.1,0.6303,0.6319,0.6303,0.6307,0.7924
3,MinMaxScaler,100,8,0.01,0.5848,0.5837,0.5848,0.5839,0.7598
3,MinMaxScaler,100,8,0.1,0.6391,0.6401,0.6391,0.6394,0.8001
3,MinMaxScaler,200,4,0.01,0.5162,0.5169,0.5162,0.5145,0.6923
3,MinMaxScaler,200,4,0.1,0.616,0.6175,0.616,0.6164,0.777
3,MinMaxScaler,200,6,0.01,0.5666,0.5682,0.5666,0.566,0.745
3,MinMaxScaler,200,6,0.1,0.638,0.6384,0.638,0.6382,0.8013
3,MinMaxScaler,200,8,0.01,0.6029,0.6019,0.6029,0.6023,0.7766
3,MinMaxScaler,200,8,0.1,0.644,0.6446,0.644,0.6441,0.8024
3,RobustScaler,100,4,0.01,0.5069,0.5096,0.5069,0.5039,0.6725
3,RobustScaler,100,4,0.1,0.5771,0.5798,0.5771,0.5772,0.7512
3,RobustScaler,100,6,0.01,0.5387,0.539,0.5387,0.5372,0.724
3,RobustScaler,100,6,0.1,0.6303,0.6313,0.6303,0.6301,0.7905
3,RobustScaler,100,8,0.01,0.5891,0.5882,0.5891,0.5886,0.7588
3,RobustScaler,100,8,0.1,0.6402,0.6407,0.6402,0.6404,0.7986
3,RobustScaler,200,4,0.01,0.5118,0.5131,0.5118,0.5104,0.6932
3,RobustScaler,200,4,0.1,0.6221,0.6242,0.6221,0.6226,0.7792
3,RobustScaler,200,6,0.01,0.5628,0.5644,0.5628,0.5621,0.7442
3,RobustScaler,200,6,0.1,0.6374,0.638,0.6374,0.6377,0.7982
3,RobustScaler,200,8,0.01,0.616,0.6154,0.616,0.6156,0.7741
3,RobustScaler,200,8,0.1,0.6429,0.6435,0.6429,0.643,0.8022
3,Normalizer,100,4,0.01,0.492,0.4977,0.492,0.4907,0.6559
3,Normalizer,100,4,0.1,0.5222,0.5231,0.5222,0.5213,0.7139
3,Normalizer,100,6,0.01,0.5112,0.5142,0.5112,0.5086,0.6986
3,Normalizer,100,6,0.1,0.5634,0.5644,0.5634,0.5635,0.7378
3,Normalizer,100,8,0.01,0.5244,0.5267,0.5244,0.5208,0.7198
3,Normalizer,100,8,0.1,0.5645,0.5641,0.5645,0.5642,0.7409
3,Normalizer,200,4,0.01,0.4833,0.4892,0.4833,0.481,0.6684
3,Normalizer,200,4,0.1,0.5617,0.5624,0.5617,0.5618,0.731
3,Normalizer,200,6,0.01,0.5178,0.5263,0.5178,0.5147,0.7136
3,Normalizer,200,6,0.1,0.5661,0.566,0.5661,0.5659,0.7408
3,Normalizer,200,8,0.01,0.5458,0.5467,0.5458,0.5424,0.7297
3,Normalizer,200,8,0.1,0.5716,0.572,0.5716,0.5713,0.7409
4,NoScaler,100,4,0.01,0.4816,0.4821,0.4816,0.478,0.6581
4,NoScaler,100,4,0.1,0.5782,0.5769,0.5782,0.5767,0.7422
4,NoScaler,100,6,0.01,0.542,0.542,0.542,0.5416,0.7091
4,NoScaler,100,6,0.1,0.6116,0.6105,0.6116,0.6105,0.7702
4,NoScaler,100,8,0.01,0.5716,0.5713,0.5716,0.5688,0.746
4,NoScaler,100,8,0.1,0.6248,0.6239,0.6248,0.624,0.7841
4,NoScaler,200,4,0.01,0.5019,0.503,0.5019,0.4987,0.6772
4,NoScaler,200,4,0.1,0.5963,0.5949,0.5963,0.5948,0.7625
4,NoScaler,200,6,0.01,0.5694,0.5688,0.5694,0.5677,0.7311
4,NoScaler,200,6,0.1,0.6248,0.6239,0.6248,0.624,0.7829
4,NoScaler,200,8,0.01,0.5985,0.5974,0.5985,0.5969,0.7623
4,NoScaler,200,8,0.1,0.6242,0.6227,0.6242,0.6226,0.7871
4,StandardScaler,100,4,0.01,0.4827,0.483,0.4827,0.4792,0.6591
4,StandardScaler,100,4,0.1,0.5826,0.5811,0.5826,0.5806,0.742
4,StandardScaler,100,6,0.01,0.5403,0.5402,0.5403,0.5396,0.7105
4,StandardScaler,100,6,0.1,0.6105,0.6096,0.6105,0.6097,0.7699
4,StandardScaler,100,8,0.01,0.5716,0.5714,0.5716,0.5688,0.7476
4,StandardScaler,100,8,0.1,0.6221,0.6211,0.6221,0.6212,0.7843
4,StandardScaler,200,4,0.01,0.5003,0.5013,0.5003,0.4973,0.678
4,StandardScaler,200,4,0.1,0.5979,0.5968,0.5979,0.597,0.7621
4,StandardScaler,200,6,0.01,0.5694,0.5683,0.5694,0.5675,0.7297
4,StandardScaler,200,6,0.1,0.6242,0.6233,0.6242,0.6235,0.7818
4,StandardScaler,200,8,0.01,0.5996,0.5987,0.5996,0.598,0.7633
4,StandardScaler,200,8,0.1,0.6242,0.6232,0.6242,0.6229,0.7865
4,MinMaxScaler,100,4,0.01,0.4827,0.4829,0.4827,0.4793,0.658
4,MinMaxScaler,100,4,0.1,0.5815,0.5808,0.5815,0.5804,0.7414
4,MinMaxScaler,100,6,0.01,0.5398,0.5396,0.5398,0.5395,0.7087
4,MinMaxScaler,100,6,0.1,0.6072,0.6061,0.6072,0.6061,0.7682
4,MinMaxScaler,100,8,0.01,0.5853,0.5842,0.5853,0.5839,0.7496
4,MinMaxScaler,100,8,0.1,0.6204,0.6197,0.6204,0.6199,0.7839
4,MinMaxScaler,200,4,0.01,0.4992,0.5002,0.4992,0.4962,0.6783
4,MinMaxScaler,200,4,0.1,0.5979,0.5969,0.5979,0.5971,0.7647
4,MinMaxScaler,200,6,0.01,0.5628,0.5633,0.5628,0.5615,0.7304
4,MinMaxScaler,200,6,0.1,0.6188,0.618,0.6188,0.6178,0.7819
4,MinMaxScaler,200,8,0.01,0.5946,0.5933,0.5946,0.593,0.7638
4,MinMaxScaler,200,8,0.1,0.6188,0.6175,0.6188,0.6175,0.7855
4,RobustScaler,100,4,0.01,0.4844,0.4848,0.4844,0.4808,0.658
4,RobustScaler,100,4,0.1,0.5793,0.5775,0.5793,0.5765,0.7377
4,RobustScaler,100,6,0.01,0.5398,0.5393,0.5398,0.5394,0.7084
4,RobustScaler,100,6,0.1,0.6078,0.6067,0.6078,0.6067,0.7704
4,RobustScaler,100,8,0.01,0.5793,0.5781,0.5793,0.5771,0.7497
4,RobustScaler,100,8,0.1,0.6259,0.6249,0.6259,0.6251,0.785
4,RobustScaler,200,4,0.01,0.4992,0.5,0.4992,0.4962,0.6789
4,RobustScaler,200,4,0.1,0.5908,0.5897,0.5908,0.5892,0.7585
4,RobustScaler,200,6,0.01,0.5694,0.5686,0.5694,0.5681,0.7299
4,RobustScaler,200,6,0.1,0.6221,0.621,0.6221,0.6212,0.7818
4,RobustScaler,200,8,0.01,0.599,0.5979,0.599,0.5976,0.7644
4,RobustScaler,200,8,0.1,0.6259,0.6246,0.6259,0.6246,0.7879
4,Normalizer,100,4,0.01,0.4679,0.4684,0.4679,0.4679,0.653
4,Normalizer,100,4,0.1,0.5118,0.5121,0.5118,0.5118,0.7037
4,Normalizer,100,6,0.01,0.4937,0.4945,0.4937,0.492,0.6818
4,Normalizer,100,6,0.1,0.5299,0.53,0.5299,0.5299,0.7179
4,Normalizer,100,8,0.01,0.5112,0.5116,0.5112,0.5111,0.7045
4,Normalizer,100,8,0.1,0.542,0.5418,0.542,0.5417,0.7251
4,Normalizer,200,4,0.01,0.4849,0.4869,0.4849,0.4848,0.6708
4,Normalizer,200,4,0.1,0.5211,0.5214,0.5211,0.5212,0.7177
4,Normalizer,200,6,0.01,0.5014,0.5027,0.5014,0.5004,0.6978
4,Normalizer,200,6,0.1,0.5398,0.5396,0.5398,0.5395,0.7231
4,Normalizer,200,8,0.01,0.5156,0.516,0.5156,0.5156,0.7111
4,Normalizer,200,8,0.1,0.5546,0.5545,0.5546,0.5538,0.7255
5,NoScaler,100,4,0.01,0.4643,0.4654,0.4643,0.461,0.6537
5,NoScaler,100,4,0.1,0.562,0.5604,0.562,0.5602,0.7399
5,NoScaler,100,6,0.01,0.5241,0.5231,0.5241,0.5211,0.7032
5,NoScaler,100,6,0.1,0.6164,0.6155,0.6164,0.6151,0.7784
5,NoScaler,100,8,0.01,0.5703,0.5699,0.5703,0.5689,0.7459
5,NoScaler,100,8,0.1,0.6262,0.6247,0.6262,0.6246,0.7876
5,NoScaler,200,4,0.01,0.4863,0.4868,0.4863,0.485,0.6749
5,NoScaler,200,4,0.1,0.6081,0.607,0.6081,0.6072,0.7693
5,NoScaler,200,6,0.01,0.5582,0.5577,0.5582,0.5568,0.7302
5,NoScaler,200,6,0.1,0.6273,0.6264,0.6273,0.6259,0.7896
5,NoScaler,200,8,0.01,0.59,0.5887,0.59,0.5884,0.761
5,NoScaler,200,8,0.1,0.6268,0.6254,0.6268,0.6256,0.7903
5,StandardScaler,100,4,0.01,0.4693,0.4699,0.4693,0.4668,0.655
5,StandardScaler,100,4,0.1,0.5697,0.5692,0.5697,0.5684,0.7427
5,StandardScaler,100,6,0.01,0.5203,0.5191,0.5203,0.5174,0.7018
5,StandardScaler,100,6,0.1,0.6142,0.6133,0.6142,0.6134,0.7782
5,StandardScaler,100,8,0.01,0.5692,0.5689,0.5692,0.5676,0.7472
5,StandardScaler,100,8,0.1,0.6306,0.6291,0.6306,0.6294,0.7898
5,StandardScaler,200,4,0.01,0.4808,0.4812,0.4808,0.4791,0.6756
5,StandardScaler,200,4,0.1,0.6109,0.6095,0.6109,0.6098,0.7686
5,StandardScaler,200,6,0.01,0.5587,0.5581,0.5587,0.5567,0.7303
5,StandardScaler,200,6,0.1,0.6284,0.628,0.6284,0.6279,0.7877
5,StandardScaler,200,8,0.01,0.5933,0.592,0.5933,0.5917,0.7621
5,StandardScaler,200,8,0.1,0.629,0.6275,0.629,0.6278,0.7908
5,MinMaxScaler,100,4,0.01,0.466,0.4671,0.466,0.4628,0.6543
5,MinMaxScaler,100,4,0.1,0.5752,0.5746,0.5752,0.5732,0.7422
5,MinMaxScaler,100,6,0.01,0.5203,0.5195,0.5203,0.5172,0.6999
5,MinMaxScaler,100,6,0.1,0.6207,0.6196,0.6207,0.6196,0.7808
5,MinMaxScaler,100,8,0.01,0.5785,0.5782,0.5785,0.5764,0.7461
5,MinMaxScaler,100,8,0.1,0.6306,0.6289,0.6306,0.629,0.7911
5,MinMaxScaler,200,4,0.01,0.4786,0.479,0.4786,0.4769,0.6748
5,MinMaxScaler,200,4,0.1,0.5971,0.5956,0.5971,0.5956,0.7679
5,MinMaxScaler,200,6,0.01,0.5527,0.5519,0.5527,0.5509,0.7302
5,MinMaxScaler,200,6,0.1,0.6323,0.631,0.6323,0.6311,0.7896
5,MinMaxScaler,200,8,0.01,0.5977,0.5965,0.5977,0.5962,0.7634
5,MinMaxScaler,200,8,0.1,0.629,0.6273,0.629,0.6273,0.7911
5,RobustScaler,100,4,0.01,0.4627,0.4635,0.4627,0.4594,0.6536
5,RobustScaler,100,4,0.1,0.5708,0.5702,0.5708,0.5692,0.7437
5,RobustScaler,100,6,0.01,0.5258,0.5248,0.5258,0.5228,0.7029
5,RobustScaler,100,6,0.1,0.6191,0.6188,0.6191,0.6176,0.7797
5,RobustScaler,100,8,0.01,0.5703,0.5701,0.5703,0.5688,0.7454
5,RobustScaler,100,8,0.1,0.6262,0.6247,0.6262,0.6246,0.7878
5,RobustScaler,200,4,0.01,0.4841,0.4849,0.4841,0.4827,0.6758
5,RobustScaler,200,4,0.1,0.5928,0.5913,0.5928,0.5917,0.7683
5,RobustScaler,200,6,0.01,0.5615,0.5612,0.5615,0.5602,0.7298
5,RobustScaler,200,6,0.1,0.624,0.6228,0.624,0.6227,0.7898
5,RobustScaler,200,8,0.01,0.5911,0.5901,0.5911,0.5894,0.7615
5,RobustScaler,200,8,0.1,0.629,0.6275,0.629,0.6275,0.7902
5,Normalizer,100,4,0.01,0.4786,0.4783,0.4786,0.4782,0.6702
5,Normalizer,100,4,0.1,0.5467,0.5505,0.5467,0.5473,0.7241
5,Normalizer,100,6,0.01,0.528,0.534,0.528,0.5278,0.7113
5,Normalizer,100,6,0.1,0.5757,0.5774,0.5757,0.5763,0.7458
5,Normalizer,100,8,0.01,0.5499,0.5544,0.5499,0.5504,0.7299
5,Normalizer,100,8,0.1,0.5796,0.5819,0.5796,0.5803,0.7494
5,Normalizer,200,4,0.01,0.5,0.5051,0.5,0.4985,0.6856
5,Normalizer,200,4,0.1,0.5692,0.5721,0.5692,0.5698,0.7362
5,Normalizer,200,6,0.01,0.5395,0.5446,0.5395,0.5394,0.7225
5,Normalizer,200,6,0.1,0.5867,0.5874,0.5867,0.587,0.7486
5,Normalizer,200,8,0.01,0.5604,0.5634,0.5604,0.5605,0.7403
5,Normalizer,200,8,0.1,0.5851,0.5853,0.5851,0.5851,0.7493
